OBJECTID,x,y,ok0,max,max_timestamp
1,114.943874,22.92969,0,0,14000
1,114.303874,22.94969,0,0,14000
1,114.723874,22.90969,0,0,14000
1,114.523874,23.46969,0,0,14000
1,114.723874,22.96969,0,0,14000
1,114.663874,22.54969,0,0,14000
1,114.743874,22.80969,0,0,14000
1,114.223874,23.02969,0,0,14000
1,114.943874,22.54969,0,0,14000
1,114.923874,22.54969,0,0,14000
1,114.283874,23.02969,0,0,14000
1,114.643874,22.94969,0,0,14000
1,114.143874,23.14969,0,0,14000
1,114.243874,23.10969,0,0,14000
1,114.783874,22.78969,0,0,14000
1,114.703874,22.90969,0,0,14000
1,113.923874,23.14969,0,0,14000
1,115.283874,23.12969,0,0,14000
1,114.963874,22.62969,0,0,14000
1,114.703874,23.04969,0,0,14000
1,114.163874,23.08969,0,0,14000
1,114.583874,23.02969,0,0,14000
1,114.223874,23.92969,0,0,14000
1,114.103874,23.34969,0,0,14000
1,114.643874,23.22969,0,0,14000
1,114.243874,22.84969,0,0,14000
1,114.203874,23.22969,0,0,14000
1,114.003874,23.22969,0,0,14000
1,113.923874,23.20969,0,0,14000
1,114.703874,22.60969,0,0,14000
1,114.023874,23.22969,0,0,14000
1,114.143874,23.50969,0,0,14000
1,114.263874,22.92969,0,0,14000
1,114.923874,22.58969,0,0,14000
1,114.703874,23.08969,0,0,14000
1,114.363874,22.84969,0,0,14000
1,114.263874,23.22969,0,0,14000
1,115.223874,23.30969,0,0,14000
1,114.363874,23.56969,0,0,14000
1,114.643874,23.36969,0,0,14000
1,114.343874,23.50969,0,0,14000
1,114.303874,23.40969,0,0,14000
1,115.163874,23.34969,0,0,14000
1,114.543874,23.38969,0,0,14000
1,114.243874,22.94969,0,0,14000
1,114.603874,22.92969,0,0,14000
1,115.003874,22.98969,0,0,14000
1,114.323874,23.38969,0,0,14000
1,114.963874,23.18969,0,0,14000
1,115.383874,23.28969,0,0,14000
1,114.383874,23.50969,0,0,14000
1,114.163874,23.22969,0,0,14000
1,114.563874,23.02969,0,0,14000
1,114.403874,23.42969,0,0,14000
1,114.323874,23.42969,0,0,14000
1,114.363874,23.22969,0,0,14000
1,114.583874,22.98969,0,0,14000
1,114.243874,23.22969,0,0,14000
1,113.923874,23.50969,0,0,14000
1,114.663874,22.62969,0,0,14000
1,114.563874,23.22969,0,0,14000
1,115.283874,23.22969,0,0,14000
1,114.523874,23.30969,0,0,14000
1,114.283874,23.32969,0,0,14000
1,114.303874,23.50969,0,0,14000
1,114.383874,22.82969,0,0,14000
1,114.263874,23.18969,0,0,14000
1,114.303874,23.18969,0,0,14000
1,114.463874,23.40969,0,0,14000
1,114.063874,23.22969,0,0,14000
1,114.043874,23.14969,0,0,14000
1,114.623874,23.34969,0,0,14000
1,114.403874,23.16969,0,0,14000
1,114.963874,23.26969,0,0,14000
1,114.663874,23.16969,0,0,14000
1,115.303874,23.18969,0,0,14000
1,114.463874,22.86969,0,0,14000
1,114.503874,22.98969,0,0,14000
1,114.143874,23.08969,0,0,14000
1,114.663874,23.26969,0,0,14000
1,114.443874,22.86969,0,0,14000
1,114.903874,23.24969,0,0,14000
1,114.563874,23.52969,0,0,14000
1,114.363874,23.02969,0,0,14000
1,114.543874,23.44969,0,0,14000
1,114.283874,23.56969,0,0,14000
1,115.243874,23.18969,0,0,14000
1,114.103874,23.44969,0,0,14000
