xy
"1:113.383874,22.969690==>113.377385114027,22.963558712658"
"0:113.803874,23.809690==>113.797332580764,23.803814796053"
"2:113.263874,23.089690==>113.257385254045,23.083558827931"
"16:113.743874,22.549690==>113.73741447753,22.543563782981"
"3:113.683874,22.549690==>113.677363267427,22.54382115953"
"17:113.803874,23.569690==>113.797332843358,23.563814830172"
"4:113.383874,23.449690==>113.377385671336,23.443558643001"
"18:113.803874,23.449690==>113.797332974683,23.443814847245"
"5:113.503874,23.329690==>113.497385531251,23.323558527718"
"19:113.623874,23.389690==>113.617415412569,23.383564012291"
"6:113.323874,23.569690==>113.31733284553,23.563814278435"
"20:113.443874,23.569690==>113.437332844984,23.563814416378"
"7:113.743874,23.149690==>113.737415145985,23.143563847262"
"21:113.383874,23.269690==>113.377415277463,23.2635642782"
"8:113.623874,22.729690==>113.61738483409,22.723558482051"
"22:113.443874,23.509690==>113.437362162949,23.503820995545"
"9:113.683874,23.149690==>113.677362577875,23.143821222449"
"23:113.503874,23.209690==>113.49738539192,23.203558545116"
"10:113.683874,23.389690==>113.677362301992,23.383821247551"
"24:113.323874,23.509690==>113.317362162403,23.503820863283"
"11:113.683874,23.329690==>113.677333106554,23.323814726426"
"25:113.503874,23.629690==>113.497415679088,23.623564177354"
"12:113.263874,23.569690==>113.257385811455,23.563558758264"
"26:113.743874,23.209690==>113.737385390479,23.203558279707"
"13:113.383874,23.509690==>113.377415544723,23.503564303928"
"27:113.323874,23.149690==>113.317362576296,23.143820825498"
"14:113.683874,22.609690==>113.677333894965,22.603814829192"
"28:114.043874,23.869690==>114.037361751791,23.863821694355"
"15:113.683874,22.669690==>113.677363129534,22.663821172132"
"29:113.923874,23.749690==>113.917361889205,23.743821549635"
"30:113.383874,23.689690==>113.377385950105,23.683558608228"
"31:113.263874,23.329690==>113.257385532712,23.323558793079"
"32:113.923874,23.389690==>113.917362303059,23.383821512151"
"33:113.203874,23.329690==>113.197333108684,23.323814174757"
"34:113.803874,23.869690==>113.797361750679,23.863821429872"
"35:113.203874,23.449690==>113.197332977372,23.443814157616"
"36:113.443874,23.209690==>113.437333238959,23.203814467731"
"37:113.743874,23.689690==>113.737385947866,23.683558210262"
"38:113.383874,22.789690==>113.377414742829,22.783564226632"
"39:113.323874,23.329690==>113.317333108149,23.323814312683"
"40:114.043874,23.809690==>114.037332579665,23.80381507193"
"41:113.563874,22.849690==>113.557333632593,22.843814657037"
"42:113.683874,23.809690==>113.677332581316,23.803814658105"
"43:113.203874,23.389690==>113.197362299834,23.383820718425"
"44:113.923874,23.929690==>113.917332448938,23.92381491696"
"45:113.563874,23.329690==>113.557333107084,23.323814588518"
"46:113.323874,23.629690==>113.317362024421,23.623820875859"
"47:113.803874,23.209690==>113.797333237388,23.203814881421"
"48:113.143874,23.329690==>113.137385533445,23.32355892575"
"49:113.563874,23.089690==>113.557333369801,23.083814622759"
"50:113.203874,23.269690==>113.197362437804,23.263820705814"
"51:113.683874,23.209690==>113.677333237909,23.203814743531"
"52:113.743874,23.329690==>113.737385529798,23.323558262332"
"53:113.683874,23.689690==>113.677332712598,23.683814675171"
"54:113.023874,23.449690==>113.017385673555,23.44355904098"
"55:113.983874,23.329690==>113.977385528352,23.323557996922"
"56:113.563874,23.569690==>113.55733284444,23.563814554315"
"57:113.323874,23.209690==>113.317333239486,23.203814329822"
"58:113.503874,23.509690==>113.497415545466,23.50356416452"
"59:113.623874,23.689690==>113.617385948611,23.683558342924"
"60:113.383874,22.909690==>113.377414876501,22.903564239538"
"61:113.863874,23.269690==>113.857415280372,23.263563720734"
"62:113.443874,23.689690==>113.437332713696,23.68381439928"
"63:113.983874,23.869690==>113.977415949331,23.863563645228"
"64:113.563874,22.729690==>113.557333764017,22.723814674191"
"65:113.923874,23.449690==>113.917332974151,23.443814985153"
"66:113.563874,23.449690==>113.557332975753,23.443814571412"
"67:113.443874,23.269690==>113.437362438875,23.263820970397"
"68:113.443874,22.909690==>113.437362852696,22.903820932604"
"69:113.683874,23.569690==>113.677332843898,23.563814692247"
"70:113.863874,23.449690==>113.857385668405,23.443558112276"
"72:113.803874,23.689690==>113.797332712052,23.683814813107"
"71:113.503874,23.449690==>113.4973856706,23.443558510329"
"73:113.443874,23.329690==>113.437333107615,23.323814450604"
"74:113.743874,23.269690==>113.737415279648,23.263563860091"
"75:113.863874,23.509690==>113.857415547682,23.503563746332"
"76:113.623874,23.509690==>113.617415546207,23.503564025118"
"77:113.563874,22.669690==>113.557363129034,22.663821039744"
"78:113.503874,22.909690==>113.497414877213,22.903564100211"
"79:113.683874,23.509690==>113.677362164037,23.503821260088"
"80:113.863874,23.749690==>113.857415814955,23.743563771893"
"81:113.323874,22.849690==>113.31733363361,22.843814381295"
"82:113.323874,23.269690==>113.31736243834,23.263820838103"
